sample_index,acc_ch1,acc_ch2,acc_ch3
470,-0.149596,-0.179515,-0.179515
471,-0.149596,-0.209434,-0.209434
472,-0.179515,-0.209434,-0.209434
473,-0.209434,-0.239354,-0.239354
474,-0.209434,-0.269273,-0.239354
475,-0.209434,-0.269273,-0.239354
476,-0.209434,-0.269273,-0.269273
477,-0.209434,-0.239354,-0.239354
478,-0.209434,-0.269273,-0.239354
479,-0.209434,-0.269273,-0.239354
480,-0.209434,-0.239354,-0.239354
481,-0.209434,-0.239354,-0.239354
482,-0.209434,-0.239354,-0.239354
483,-0.209434,-0.239354,-0.239354
484,-0.209434,-0.269273,-0.239354
485,-0.239354,-0.299192,-0.299192
486,-0.239354,-0.299192,-0.269273
487,-0.239354,-0.269273,-0.269273
488,-0.209434,-0.269273,-0.269273
489,-0.179515,-0.239354,-0.239354
490,-0.179515,-0.239354,-0.209434
491,-0.179515,-0.239354,-0.209434
492,-0.179515,-0.209434,-0.209434
493,-0.179515,-0.209434,-0.209434
494,-0.179515,-0.209434,-0.209434
495,-0.179515,-0.209434,-0.209434
496,-0.179515,-0.239354,-0.209434
497,-0.179515,-0.239354,-0.209434
498,-0.179515,-0.239354,-0.239354
499,-0.179515,-0.239354,-0.239354
500,-0.179515,-0.209434,-0.209434
501,-0.149596,-0.179515,-0.179515
502,-0.149596,-0.179515,-0.179515
503,-0.149596,-0.209434,-0.179515
504,-0.179515,-0.209434,-0.209434
505,-0.209434,-0.239354,-0.239354
506,-0.209434,-0.269273,-0.239354
507,-0.209434,-0.269273,-0.239354
508,-0.209434,-0.239354,-0.239354
509,-0.209434,-0.269273,-0.239354
510,-0.209434,-0.269273,-0.269273
511,-0.209434,-0.269273,-0.239354
512,-0.209434,-0.239354,-0.239354
513,-0.209434,-0.239354,-0.239354
514,-0.209434,-0.239354,-0.239354
515,-0.209434,-0.239354,-0.239354
516,-0.209434,-0.269273,-0.239354
517,-0.239354,-0.299192,-0.269273
518,-0.239354,-0.299192,-0.269273
519,-0.239354,-0.269273,-0.269273
520,-0.209434,-0.269273,-0.269273
521,-0.179515,-0.239354,-0.239354
522,-0.179515,-0.209434,-0.209434
523,-0.179515,-0.209434,-0.209434
524,-0.179515,-0.209434,-0.209434
525,-0.179515,-0.209434,-0.209434
526,-0.179515,-0.209434,-0.209434
527,-0.179515,-0.209434,-0.209434
528,-0.179515,-0.239354,-0.209434
529,-0.179515,-0.239354,-0.209434
530,-0.179515,-0.239354,-0.239354
531,-0.179515,-0.239354,-0.239354
532,-0.179515,-0.209434,-0.209434
533,-0.119677,-0.179515,-0.179515
534,-0.149596,-0.179515,-0.179515
535,-0.149596,-0.209434,-0.209434
536,-0.179515,-0.239354,-0.209434
537,-0.209434,-0.239354,-0.239354
538,-0.209434,-0.269273,-0.269273
539,-0.209434,-0.269273,-0.239354
540,-0.209434,-0.269273,-0.239354
541,-0.209434,-0.269273,-0.239354
542,-0.209434,-0.269273,-0.239354
543,-0.209434,-0.269273,-0.239354
544,-0.209434,-0.239354,-0.239354
545,-0.209434,-0.239354,-0.239354
546,-0.209434,-0.239354,-0.239354
547,-0.209434,-0.239354,-0.239354
548,-0.209434,-0.269273,-0.269273
549,-0.239354,-0.299192,-0.299192
550,-0.239354,-0.299192,-0.269273
551,-0.239354,-0.269273,-0.269273
552,-0.209434,-0.269273,-0.269273
553,-0.179515,-0.239354,-0.239354
554,-0.179515,-0.209434,-0.209434
555,-0.179515,-0.209434,-0.209434
556,-0.179515,-0.209434,-0.209434
557,-0.179515,-0.209434,-0.209434
558,-0.179515,-0.209434,-0.209434
559,-0.179515,-0.209434,-0.209434
560,-0.179515,-0.239354,-0.209434
561,-0.179515,-0.239354,-0.209434
562,-0.179515,-0.239354,-0.239354
563,-0.179515,-0.239354,-0.239354
564,-0.179515,-0.209434,-0.209434
565,-0.149596,-0.179515,-0.179515
566,-0.149596,-0.179515,-0.179515
567,-0.149596,-0.209434,-0.209434
568,-0.179515,-0.209434,-0.209434
569,-0.209434,-0.239354,-0.239354
570,-0.209434,-0.269273,-0.239354
571,-0.209434,-0.269273,-0.239354
572,-0.209434,-0.269273,-0.239354
573,-0.209434,-0.269273,-0.239354
574,-0.209434,-0.269273,-0.239354
575,-0.209434,-0.269273,-0.239354
576,-0.209434,-0.239354,-0.239354
577,-0.209434,-0.239354,-0.239354
578,-0.209434,-0.239354,-0.239354
579,-0.209434,-0.239354,-0.239354
580,-0.209434,-0.269273,-0.269273
581,-0.239354,-0.299192,-0.299192
582,-0.239354,-0.299192,-0.269273
583,-0.239354,-0.269273,-0.269273
584,-0.209434,-0.269273,-0.269273
585,-0.179515,-0.239354,-0.239354
586,-0.179515,-0.209434,-0.209434
587,-0.179515,-0.209434,-0.209434
588,-0.179515,-0.209434,-0.209434
589,-0.179515,-0.209434,-0.209434
590,-0.179515,-0.209434,-0.209434
591,-0.179515,-0.209434,-0.209434
592,-0.179515,-0.239354,-0.239354
593,-0.179515,-0.239354,-0.239354
594,-0.179515,-0.239354,-0.239354
595,-0.179515,-0.239354,-0.239354
596,-0.179515,-0.209434,-0.209434
597,-0.119677,-0.179515,-0.179515
598,-0.149596,-0.179515,-0.179515
599,-0.149596,-0.209434,-0.209434
600,-0.179515,-0.239354,-0.209434
601,-0.209434,-0.239354,-0.239354
602,-0.209434,-0.269273,-0.239354
603,-0.209434,-0.269273,-0.239354
604,-0.209434,-0.269273,-0.239354
605,-0.209434,-0.269273,-0.239354
606,-0.209434,-0.269273,-0.239354
607,-0.209434,-0.269273,-0.239354
608,-0.209434,-0.239354,-0.239354
609,-0.209434,-0.239354,-0.239354
610,-0.209434,-0.239354,-0.239354
611,-0.209434,-0.239354,-0.239354
612,-0.209434,-0.269273,-0.269273
613,-0.239354,-0.299192,-0.299192
614,-0.239354,-0.299192,-0.269273
615,-0.239354,-0.269273,-0.269273
616,-0.209434,-0.269273,-0.269273
617,-0.179515,-0.239354,-0.239354
618,-0.179515,-0.209434,-0.209434
619,-0.179515,-0.209434,-0.209434
620,-0.179515,-0.209434,-0.209434
621,-0.179515,-0.209434,-0.209434
622,-0.179515,-0.209434,-0.209434
623,-0.179515,-0.209434,-0.209434
624,-0.179515,-0.239354,-0.209434
625,-0.179515,-0.239354,-0.239354
626,-0.179515,-0.239354,-0.239354
627,-0.179515,-0.239354,-0.239354
628,-0.179515,-0.209434,-0.209434
629,-0.149596,-0.179515,-0.179515
630,-0.149596,-0.179515,-0.179515
631,-0.149596,-0.209434,-0.209434
632,-0.179515,-0.209434,-0.209434
633,-0.209434,-0.239354,-0.239354
634,-0.209434,-0.269273,-0.269273
635,-0.209434,-0.269273,-0.269273
636,-0.209434,-0.269273,-0.269273
637,-0.209434,-0.269273,-0.269273
638,-0.209434,-0.269273,-0.239354
639,-0.209434,-0.239354,-0.239354
640,-0.209434,-0.239354,-0.239354
641,-0.209434,-0.239354,-0.239354
642,-0.209434,-0.239354,-0.239354
643,-0.209434,-0.239354,-0.239354
644,-0.209434,-0.269273,-0.269273
645,-0.239354,-0.299192,-0.299192
646,-0.239354,-0.299192,-0.269273
647,-0.239354,-0.269273,-0.269273
648,-0.209434,-0.269273,-0.239354
649,-0.179515,-0.239354,-0.239354
650,-0.179515,-0.239354,-0.209434
651,-0.179515,-0.209434,-0.209434
652,-0.179515,-0.209434,-0.209434
653,-0.179515,-0.209434,-0.209434
654,-0.179515,-0.209434,-0.209434
655,-0.179515,-0.239354,-0.209434
656,-0.179515,-0.239354,-0.209434
657,-0.179515,-0.239354,-0.239354
658,-0.179515,-0.239354,-0.239354
659,-0.179515,-0.239354,-0.239354
660,-0.179515,-0.209434,-0.209434
661,-0.119677,-0.179515,-0.179515
662,-0.149596,-0.179515,-0.179515
663,-0.179515,-0.209434,-0.209434
664,-0.179515,-0.209434,-0.209434
665,-0.209434,-0.239354,-0.239354
666,-0.209434,-0.269273,-0.239354
667,-0.209434,-0.269273,-0.239354
668,-0.209434,-0.269273,-0.269273
669,-0.209434,-0.269273,-0.239354
670,-0.209434,-0.269273,-0.269273
671,-0.209434,-0.269273,-0.269273
672,-0.209434,-0.239354,-0.239354
673,-0.209434,-0.239354,-0.239354
674,-0.209434,-0.239354,-0.239354
675,-0.209434,-0.239354,-0.239354
676,-0.209434,-0.269273,-0.269273
677,-0.239354,-0.299192,-0.299192
678,-0.239354,-0.299192,-0.269273
679,-0.239354,-0.269273,-0.269273
680,-0.209434,-0.269273,-0.269273
681,-0.209434,-0.239354,-0.239354
682,-0.179515,-0.239354,-0.209434
683,-0.179515,-0.209434,-0.209434
684,-0.179515,-0.209434,-0.209434
685,-0.179515,-0.209434,-0.209434
686,-0.179515,-0.209434,-0.209434
687,-0.179515,-0.239354,-0.209434
688,-0.179515,-0.239354,-0.209434
689,-0.179515,-0.239354,-0.239354
690,-0.179515,-0.239354,-0.239354
691,-0.179515,-0.239354,-0.239354
692,-0.179515,-0.209434,-0.209434
693,-0.149596,-0.179515,-0.179515
