x_mm,z_mm,temperature_c
19.231,6.41,92.0
21.795,6.41,92.0
24.359,6.41,92.0
26.923,6.41,92.0
29.487,6.41,92.0
32.051,6.41,92.0
34.615,6.41,92.0
37.179,6.41,92.0
39.744,6.41,92.0
42.308,6.41,92.0
44.872,6.41,92.0
47.436,6.41,92.0
50.0,6.41,42.452
-50.0,8.974,40.1
-47.436,8.974,40.787
-44.872,8.974,92.0
-42.308,8.974,92.0
-39.744,8.974,92.0
-37.179,8.974,92.0
-34.615,8.974,92.0
-32.051,8.974,92.0
-29.487,8.974,92.0
-26.923,8.974,92.0
-24.359,8.974,92.0
-21.795,8.974,92.0
-19.231,8.974,92.0
-16.667,8.974,92.0
-14.103,8.974,92.0
-11.538,8.974,92.0
-8.974,8.974,92.0
-6.41,8.974,92.0
-3.846,8.974,92.0
-1.282,8.974,92.0
1.282,8.974,92.0
3.846,8.974,92.0
6.41,8.974,92.0
8.974,8.974,92.0
11.538,8.974,92.0
14.103,8.974,92.0
16.667,8.974,92.0
19.231,8.974,92.0
21.795,8.974,92.0
24.359,8.974,92.0
26.923,8.974,92.0
29.487,8.974,92.0
32.051,8.974,92.0
34.615,8.974,92.0
37.179,8.974,92.0
39.744,8.974,92.0
42.308,8.974,92.0
44.872,8.974,92.0
47.436,8.974,37.111
50.0,8.974,36.047
-50.0,11.538,33.579
-47.436,11.538,34.73
-44.872,11.538,36.581
-42.308,11.538,40.453
-39.744,11.538,41.968
-37.179,11.538,43.959
-34.615,11.538,44.182
-32.051,11.538,45.465
-29.487,11.538,44.871
-26.923,11.538,45.832
-24.359,11.538,45.057
-21.795,11.538,45.917
-19.231,11.538,45.099
-16.667,11.538,45.934
-14.103,11.538,45.108
-11.538,11.538,45.938
-8.974,11.538,45.11
-6.41,11.538,45.938
-3.846,11.538,45.11
-1.282,11.538,45.939
1.282,11.538,45.939
3.846,11.538,45.11
6.41,11.538,45.939
8.974,11.538,45.11
11.538,11.538,45.939
14.103,11.538,45.11
16.667,11.538,45.939
19.231,11.538,45.11
21.795,11.538,45.939
24.359,11.538,45.11
26.923,11.538,45.939
29.487,11.538,45.11
32.051,11.538,45.939
34.615,11.538,44.841
37.179,11.538,44.238
39.744,11.538,41.35
42.308,11.538,39.281
44.872,11.538,34.352
47.436,11.538,31.718
50.0,11.538,28.923
-50.0,14.103,30.431
-47.436,14.103,30.616
-44.872,14.103,31.262
-42.308,14.103,32.086
-39.744,14.103,32.95
-37.179,14.103,33.56
-34.615,14.103,34.061
-32.051,14.103,34.292
-29.487,14.103,34.542
-26.923,14.103,34.565
-24.359,14.103,34.699
-21.795,14.103,34.65
-19.231,14.103,34.743
-16.667,14.103,34.672
-14.103,14.103,34.753
-11.538,14.103,34.678
-8.974,14.103,34.756
-6.41,14.103,34.679
-3.846,14.103,34.756
-1.282,14.103,34.679
1.282,14.103,34.679
3.846,14.103,34.756
6.41,14.103,34.679
8.974,14.103,34.756
11.538,14.103,34.679
14.103,14.103,34.756
16.667,14.103,34.679
19.231,14.103,34.756
21.795,14.103,34.641
24.359,14.103,34.555
26.923,14.103,34.208
29.487,14.103,33.868
32.051,14.103,33.201
34.615,14.103,32.515
37.179,14.103,31.48
39.744,14.103,30.485
42.308,14.103,29.26
44.872,14.103,28.278
47.436,14.103,27.403
50.0,14.103,27.177
-50.0,16.667,28.545
-47.436,16.667,28.625
-44.872,16.667,28.854
-42.308,16.667,29.179
-39.744,16.667,29.522
-37.179,16.667,29.83
-34.615,16.667,30.069
-32.051,16.667,30.244
-29.487,16.667,30.339
